날짜,보령머드,강경젓갈축제,음성품바축제,강경젓갈축제,지용제,천안흥타령축제,강경젓갈축제,금산인삼축제,서산해미읍성축제,석장리세계구석기축제,한산모시문화제,강경젓갈축제,괴산고추축제,영동난계국악축제
2016-01-04,1.310927496,0.02930930116,0.28,0.03,0.00,0.5291144166,0.02931477876,0.3336621582,0,0.8320745971,0.01814479882,0.02931698743,0.01954223218,0
2016-01-11,1.447748045,0.02092394953,0.43,0.02,0.00,0.5765851822,0.02093038483,0.4327856864,0.00977159292,0.4662824622,0.006979888516,0.02093966555,0.01814479882,0.006979888516
2016-01-18,1.375145095,0.02791612361,0.27,0.03,0.00,0.4997996379,0.02790717978,0.4285832895,0,0.2261542361,0.01814479882,0.02791955406,0.02512468734,0
2016-01-25,1.426797809,0.01395806181,0.27,0.01,0.00,0.4132425006,0.01395358989,0.5416808075,0,0.08235474033,0,0.01395977703,0.04746178625,0
2016-02-01,1.292789902,0.01813759444,0.35,0.02,0.00,0.3336621582,0.01813558686,0.3517977451,0.02931477876,0.1772962715,0.02233709891,0.01814479882,0.02931698743,0
2016-02-08,1.482656343,0.01535123935,0.32,0.02,0.00,0.3490233471,0.01534078888,0.3797253249,0.1074875221,0.2792145977,0.02233709891,0.0153499321,0.00837004358,0
2016-02-15,1.761870152,0.05583224723,0.32,0.06,0.01,0.4397624814,0.05583475954,0.4648952632,0.2122006462,0.1493686918,0.04746178625,0.05583910813,0.0795736404,0
2016-02-22,2.096942494,0.0474468956,0.41,0.05,0.00,0.5179352247,0.04745036562,0.4327856864,0.04745036562,0.1633426816,0.04467419782,0.04746178625,0.04885921961,0
2016-02-29,2.60232422,0.07956883821,0.52,0.08,0.04,0.6645295185,0.07955994235,0.4914152439,0.01534078888,0.1507762908,0.06561386337,0.0795736404,0,0
2016-03-07,3.481866118,0.1354010854,0.68,0.14,0.04,0.8083290143,0.1354151019,0.6268303458,0.02372518281,0.2205646402,0.2052261903,0.1354200268,0.1228504049,0.01674736546
2016-03-14,4.158976691,0.1968323292,0.73,0.20,0.06,1.157352361,0.1968394574,0.7161822811,0.09353393223,0.4020633087,0.1284401383,0.1968488684,0.1270427049,0.07817620704
2016-03-21,4.947778045,0.1828742674,0.82,0.18,0.10,1.410046978,0.1828858675,1.000986475,0.365771735,0.362976937,0.1005133059,0.1828890914,0.1535648256,0.07538861861
2016-03-28,5.393121704,0.1200498461,1.17,0.12,0.17,1.676715585,0.120053913,1.026119257,0.2917809886,0.4942100419,0.2024313236,0.1200628164,0.104705606,0.04048189773
2016-04-04,6.045102508,0.1577444989,1.74,0.16,0.21,1.680897582,0.1577530857,0.9842380869,0.2833965947,0.850210184,0.2024313236,0.1577571257,0.1800942246,0.01814479882
2016-04-11,6.779464792,0.1382137269,1.86,0.14,0.26,1.553846474,0.1382098999,1.074997621,0.1451866948,1.051252038,0.1270427049,0.1382076153,0.1898689799,0.03489944258
2016-04-18,6.223797243,0.1186566685,2.30,0.12,0.45,1.248111896,0.118666714,1.073590022,0.1703194766,1.277426674,0.1800942246,0.1186653831,0.1856766798,0.02931698743
2016-04-25,9.173784976,0.08795418984,2.38,0.09,0.51,1.417023773,0.08794433628,1.126650384,0.3169137704,3.286417219,0.1647370143,0.08795096228,0.1759019246,0.04467419782
2016-05-02,12.59421985,0.1354010854,3.51,0.14,0.75,1.841445466,0.1354151019,1.047070041,0.2135878452,15.06253309,0.259667865,0.1354200268,0.1507772372,0.07259375188
2016-05-09,13.56592176,0.1144771359,5.10,0.11,3.38,2.013172541,0.1144643171,1.13221958,0.127030708,1.358394216,0.3294740285,0.1144803613,0.2638601651,0.07817620704
2016-05-16,13.87026534,0.1326147304,9.31,0.13,0.41,1.812130687,0.1326203039,1.081974416,0.1395970989,0.3741357289,0.5095755314,0.1326251601,0.2485029547,0.06840873009
