기초지자체,카테고리중분류명,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율,년도
계룡시,기타관광,75680,0.8,16994,22.5,2018
계룡시,레저스포츠,75680,0.8,21279,28.1,2018
계룡시,문화관광,75680,0.8,4071,5.4,2018
계룡시,쇼핑,75680,0.8,6502,8.6,2018
계룡시,숙박,75680,0.8,2030,2.7,2018
계룡시,역사관광,75680,0.8,707,0.9,2018
계룡시,음식,75680,0.8,23762,31.4,2018
계룡시,자연관광,75680,0.8,335,0.4,2018
공주시,기타관광,623625,6.6,89569,14.4,2018
공주시,레저스포츠,623625,6.6,21068,3.4,2018
공주시,문화관광,623625,6.6,62905,10.1,2018
공주시,쇼핑,623625,6.6,12652,2,2018
공주시,숙박,623625,6.6,49802,8,2018
공주시,역사관광,623625,6.6,197264,31.6,2018
공주시,음식,623625,6.6,171940,27.6,2018
공주시,자연관광,623625,6.6,13452,2.2,2018
공주시,체험관광,623625,6.6,4973,0.8,2018
금산군,기타관광,139462,1.5,10399,7.5,2018
금산군,레저스포츠,139462,1.5,19040,13.7,2018
금산군,문화관광,139462,1.5,4957,3.6,2018
금산군,쇼핑,139462,1.5,16141,11.6,2018
금산군,숙박,139462,1.5,10659,7.6,2018
금산군,역사관광,139462,1.5,7012,5,2018
금산군,음식,139462,1.5,27769,19.9,2018
금산군,자연관광,139462,1.5,8534,6.1,2018
금산군,체험관광,139462,1.5,34951,25.1,2018
논산시,기타관광,293548,3.1,89215,30.4,2018
논산시,레저스포츠,293548,3.1,16210,5.5,2018
논산시,문화관광,293548,3.1,46687,15.9,2018
논산시,쇼핑,293548,3.1,17487,6,2018
논산시,숙박,293548,3.1,19796,6.7,2018
논산시,역사관광,293548,3.1,18212,6.2,2018
논산시,음식,293548,3.1,65962,22.5,2018
논산시,자연관광,293548,3.1,16666,5.7,2018
논산시,체험관광,293548,3.1,3313,1.1,2018
당진시,기타관광,667359,7.1,123932,18.6,2018
당진시,레저스포츠,667359,7.1,42634,6.4,2018
당진시,문화관광,667359,7.1,145056,21.7,2018
당진시,쇼핑,667359,7.1,19739,3,2018
당진시,숙박,667359,7.1,24386,3.7,2018
당진시,역사관광,667359,7.1,13633,2,2018
당진시,음식,667359,7.1,154991,23.2,2018
당진시,자연관광,667359,7.1,142695,21.4,2018
당진시,체험관광,667359,7.1,293,0,2018
보령시,기타관광,815016,8.7,81565,10,2018
보령시,레저스포츠,815016,8.7,36121,4.4,2018
보령시,문화관광,815016,8.7,59120,7.3,2018
보령시,쇼핑,815016,8.7,37782,4.6,2018
보령시,숙박,815016,8.7,133661,16.4,2018
보령시,역사관광,815016,8.7,2994,0.4,2018
보령시,음식,815016,8.7,108700,13.3,2018
보령시,자연관광,815016,8.7,354559,43.5,2018
보령시,체험관광,815016,8.7,514,0.1,2018
부여군,기타관광,355689,3.8,20263,5.7,2018
부여군,레저스포츠,355689,3.8,27778,7.8,2018
부여군,문화관광,355689,3.8,39310,11.1,2018
부여군,쇼핑,355689,3.8,84611,23.8,2018
부여군,숙박,355689,3.8,47904,13.5,2018
부여군,역사관광,355689,3.8,70069,19.7,2018
부여군,음식,355689,3.8,61484,17.3,2018
부여군,자연관광,355689,3.8,3535,1,2018
부여군,체험관광,355689,3.8,735,0.2,2018
서산시,기타관광,597214,6.4,91605,15.3,2018
서산시,레저스포츠,597214,6.4,25840,4.3,2018
서산시,문화관광,597214,6.4,33249,5.6,2018
서산시,쇼핑,597214,6.4,25665,4.3,2018
서산시,숙박,597214,6.4,31385,5.3,2018
서산시,역사관광,597214,6.4,119307,20,2018
서산시,음식,597214,6.4,135843,22.7,2018
서산시,자연관광,597214,6.4,133571,22.4,2018
서산시,체험관광,597214,6.4,749,0.1,2018
서천군,기타관광,321084,3.4,77206,24,2018
서천군,레저스포츠,321084,3.4,4536,1.4,2018
서천군,문화관광,321084,3.4,45605,14.2,2018
서천군,쇼핑,321084,3.4,43231,13.5,2018
서천군,숙박,321084,3.4,15485,4.8,2018
서천군,역사관광,321084,3.4,11620,3.6,2018
서천군,음식,321084,3.4,27773,8.6,2018
서천군,자연관광,321084,3.4,94406,29.4,2018
서천군,체험관광,321084,3.4,1222,0.4,2018
아산시,기타관광,1415191,15.1,378055,26.7,2018
아산시,레저스포츠,1415191,15.1,68110,4.8,2018
아산시,문화관광,1415191,15.1,157069,11.1,2018
아산시,쇼핑,1415191,15.1,87485,6.2,2018
아산시,숙박,1415191,15.1,83929,5.9,2018
아산시,역사관광,1415191,15.1,75205,5.3,2018
아산시,음식,1415191,15.1,370912,26.2,2018
아산시,자연관광,1415191,15.1,57799,4.1,2018
아산시,체험관광,1415191,15.1,136627,9.7,2018
예산군,기타관광,365185,3.9,80332,22,2018
예산군,레저스포츠,365185,3.9,6099,1.7,2018
예산군,문화관광,365185,3.9,44247,12.1,2018
예산군,쇼핑,365185,3.9,3199,0.9,2018
예산군,숙박,365185,3.9,47071,12.9,2018
예산군,역사관광,365185,3.9,70223,19.2,2018
예산군,음식,365185,3.9,81397,22.3,2018
예산군,자연관광,365185,3.9,25669,7,2018
예산군,체험관광,365185,3.9,6948,1.9,2018
천안시 동남구,기타관광,1206257,12.8,200813,16.6,2018
천안시 동남구,레저스포츠,1206257,12.8,73628,6.1,2018
천안시 동남구,문화관광,1206257,12.8,248496,20.6,2018
천안시 동남구,쇼핑,1206257,12.8,131223,10.9,2018
천안시 동남구,숙박,1206257,12.8,63354,5.3,2018
천안시 동남구,역사관광,1206257,12.8,32385,2.7,2018
천안시 동남구,음식,1206257,12.8,414694,34.4,2018
천안시 동남구,자연관광,1206257,12.8,23388,1.9,2018
천안시 동남구,체험관광,1206257,12.8,18276,1.5,2018
천안시 서북구,기타관광,1096029,11.7,9177,0.8,2018
천안시 서북구,레저스포츠,1096029,11.7,22395,2,2018
천안시 서북구,문화관광,1096029,11.7,117216,10.7,2018
천안시 서북구,쇼핑,1096029,11.7,152090,13.9,2018
천안시 서북구,숙박,1096029,11.7,91773,8.4,2018
천안시 서북구,역사관광,1096029,11.7,886,0.1,2018
천안시 서북구,음식,1096029,11.7,695377,63.4,2018
천안시 서북구,자연관광,1096029,11.7,6661,0.6,2018
천안시 서북구,체험관광,1096029,11.7,454,0,2018
청양군,기타관광,81897,0.9,35324,43.1,2018
청양군,레저스포츠,81897,0.9,3910,4.8,2018
청양군,문화관광,81897,0.9,9389,11.5,2018
청양군,쇼핑,81897,0.9,1913,2.3,2018
청양군,숙박,81897,0.9,5911,7.2,2018
청양군,역사관광,81897,0.9,6689,8.2,2018
청양군,음식,81897,0.9,9269,11.3,2018
청양군,자연관광,81897,0.9,9085,11.1,2018
청양군,체험관광,81897,0.9,407,0.5,2018
태안군,기타관광,1109489,11.8,82370,7.4,2018
태안군,레저스포츠,1109489,11.8,64776,5.8,2018
태안군,문화관광,1109489,11.8,83130,7.5,2018
태안군,쇼핑,1109489,11.8,25136,2.3,2018
태안군,숙박,1109489,11.8,176038,15.9,2018
태안군,역사관광,1109489,11.8,12915,1.2,2018
태안군,음식,1109489,11.8,133131,12,2018
태안군,자연관광,1109489,11.8,511169,46.1,2018
태안군,체험관광,1109489,11.8,20824,1.9,2018
홍성군,기타관광,233823,2.5,59713,25.5,2018
홍성군,레저스포츠,233823,2.5,1475,0.6,2018
홍성군,문화관광,233823,2.5,20211,8.6,2018
홍성군,쇼핑,233823,2.5,13371,5.7,2018
홍성군,숙박,233823,2.5,6756,2.9,2018
홍성군,역사관광,233823,2.5,8265,3.5,2018
홍성군,음식,233823,2.5,64595,27.6,2018
홍성군,자연관광,233823,2.5,59151,25.3,2018
홍성군,체험관광,233823,2.5,286,0.1,2018
계룡시,기타관광,116770,0.8,22629,19.4,2019
계룡시,레저스포츠,116770,0.8,29019,24.9,2019
계룡시,문화관광,116770,0.8,5609,4.8,2019
계룡시,쇼핑,116770,0.8,9350,8,2019
계룡시,숙박,116770,0.8,7142,6.1,2019
계룡시,역사관광,116770,0.8,1252,1.1,2019
계룡시,음식,116770,0.8,41135,35.2,2019
계룡시,자연관광,116770,0.8,634,0.5,2019
공주시,기타관광,912552,6.6,121135,13.3,2019
공주시,레저스포츠,912552,6.6,30325,3.3,2019
공주시,문화관광,912552,6.6,82646,9.1,2019
공주시,쇼핑,912552,6.6,22211,2.4,2019
공주시,숙박,912552,6.6,83888,9.2,2019
공주시,역사관광,912552,6.6,263356,28.9,2019
공주시,음식,912552,6.6,280496,30.7,2019
공주시,자연관광,912552,6.6,21380,2.3,2019
공주시,체험관광,912552,6.6,7115,0.8,2019
금산군,기타관광,191877,1.4,11817,6.2,2019
금산군,레저스포츠,191877,1.4,25939,13.5,2019
금산군,문화관광,191877,1.4,7903,4.1,2019
금산군,쇼핑,191877,1.4,19950,10.4,2019
금산군,숙박,191877,1.4,15501,8.1,2019
금산군,역사관광,191877,1.4,9929,5.2,2019
금산군,음식,191877,1.4,47168,24.6,2019
금산군,자연관광,191877,1.4,9733,5.1,2019
금산군,체험관광,191877,1.4,43937,22.9,2019
논산시,기타관광,465110,3.4,116765,25.1,2019
논산시,레저스포츠,465110,3.4,28175,6.1,2019
논산시,문화관광,465110,3.4,66938,14.4,2019
논산시,쇼핑,465110,3.4,25397,5.5,2019
논산시,숙박,465110,3.4,40520,8.7,2019
논산시,역사관광,465110,3.4,27606,5.9,2019
논산시,음식,465110,3.4,133678,28.7,2019
논산시,자연관광,465110,3.4,21353,4.6,2019
논산시,체험관광,465110,3.4,4678,1,2019
당진시,기타관광,956835,6.9,158097,16.5,2019
당진시,레저스포츠,956835,6.9,52901,5.5,2019
당진시,문화관광,956835,6.9,216916,22.7,2019
당진시,쇼핑,956835,6.9,27754,2.9,2019
당진시,숙박,956835,6.9,46493,4.9,2019
당진시,역사관광,956835,6.9,19247,2,2019
당진시,음식,956835,6.9,254354,26.6,2019
당진시,자연관광,956835,6.9,180180,18.8,2019
당진시,체험관광,956835,6.9,893,0.1,2019
보령시,기타관광,1162107,8.4,103291,8.9,2019
보령시,레저스포츠,1162107,8.4,51790,4.5,2019
보령시,문화관광,1162107,8.4,93091,8,2019
보령시,쇼핑,1162107,8.4,46601,4,2019
보령시,숙박,1162107,8.4,224090,19.3,2019
보령시,역사관광,1162107,8.4,4962,0.4,2019
보령시,음식,1162107,8.4,186753,16.1,2019
보령시,자연관광,1162107,8.4,450681,38.8,2019
보령시,체험관광,1162107,8.4,848,0.1,2019
부여군,기타관광,508517,3.7,26404,5.2,2019
부여군,레저스포츠,508517,3.7,39367,7.7,2019
부여군,문화관광,508517,3.7,61163,12,2019
부여군,쇼핑,508517,3.7,101907,20,2019
부여군,숙박,508517,3.7,71772,14.1,2019
부여군,역사관광,508517,3.7,95671,18.8,2019
부여군,음식,508517,3.7,104922,20.6,2019
부여군,자연관광,508517,3.7,6286,1.2,2019
부여군,체험관광,508517,3.7,1025,0.2,2019
서산시,기타관광,902439,6.5,114179,12.7,2019
서산시,레저스포츠,902439,6.5,35897,4,2019
서산시,문화관광,902439,6.5,43065,4.8,2019
서산시,쇼핑,902439,6.5,35835,4,2019
서산시,숙박,902439,6.5,58706,6.5,2019
서산시,역사관광,902439,6.5,187754,20.8,2019
서산시,음식,902439,6.5,242086,26.8,2019
서산시,자연관광,902439,6.5,183603,20.3,2019
서산시,체험관광,902439,6.5,1314,0.1,2019
서천군,기타관광,452166,3.3,101405,22.4,2019
서천군,레저스포츠,452166,3.3,6862,1.5,2019
서천군,문화관광,452166,3.3,60628,13.4,2019
서천군,쇼핑,452166,3.3,62546,13.8,2019
서천군,숙박,452166,3.3,33579,7.4,2019
서천군,역사관광,452166,3.3,16655,3.7,2019
서천군,음식,452166,3.3,45228,10,2019
서천군,자연관광,452166,3.3,123680,27.4,2019
서천군,체험관광,452166,3.3,1583,0.4,2019
아산시,기타관광,1943342,14,516826,26.6,2019
아산시,레저스포츠,1943342,14,87563,4.5,2019
아산시,문화관광,1943342,14,189254,9.7,2019
아산시,쇼핑,1943342,14,103165,5.3,2019
아산시,숙박,1943342,14,114016,5.9,2019
아산시,역사관광,1943342,14,94147,4.8,2019
아산시,음식,1943342,14,618528,31.8,2019
아산시,자연관광,1943342,14,68405,3.5,2019
아산시,체험관광,1943342,14,151438,7.8,2019
예산군,기타관광,775408,5.6,280349,36.2,2019
예산군,레저스포츠,775408,5.6,9405,1.2,2019
예산군,문화관광,775408,5.6,64172,8.3,2019
예산군,쇼핑,775408,5.6,5155,0.7,2019
예산군,숙박,775408,5.6,83951,10.8,2019
예산군,역사관광,775408,5.6,108796,14,2019
예산군,음식,775408,5.6,152907,19.7,2019
예산군,자연관광,775408,5.6,54804,7.1,2019
예산군,체험관광,775408,5.6,15869,2,2019
천안시 동남구,기타관광,1750712,12.6,259800,14.8,2019
천안시 동남구,레저스포츠,1750712,12.6,106804,6.1,2019
천안시 동남구,문화관광,1750712,12.6,354898,20.3,2019
천안시 동남구,쇼핑,1750712,12.6,184464,10.5,2019
천안시 동남구,숙박,1750712,12.6,81749,4.7,2019
천안시 동남구,역사관광,1750712,12.6,45013,2.6,2019
천안시 동남구,음식,1750712,12.6,665985,38,2019
천안시 동남구,자연관광,1750712,12.6,30505,1.7,2019
천안시 동남구,체험관광,1750712,12.6,21494,1.2,2019
천안시 서북구,기타관광,1639576,11.8,11464,0.7,2019
천안시 서북구,레저스포츠,1639576,11.8,33847,2.1,2019
천안시 서북구,문화관광,1639576,11.8,140130,8.5,2019
천안시 서북구,쇼핑,1639576,11.8,201307,12.3,2019
천안시 서북구,숙박,1639576,11.8,145814,8.9,2019
천안시 서북구,역사관광,1639576,11.8,1641,0.1,2019
천안시 서북구,음식,1639576,11.8,1093365,66.7,2019
천안시 서북구,자연관광,1639576,11.8,9981,0.6,2019
천안시 서북구,체험관광,1639576,11.8,2027,0.1,2019
청양군,기타관광,110721,0.8,41911,37.9,2019
청양군,레저스포츠,110721,0.8,5636,5.1,2019
청양군,문화관광,110721,0.8,12396,11.2,2019
청양군,쇼핑,110721,0.8,3291,3,2019
청양군,숙박,110721,0.8,8857,8,2019
청양군,역사관광,110721,0.8,9644,8.7,2019
청양군,음식,110721,0.8,17146,15.5,2019
청양군,자연관광,110721,0.8,11294,10.2,2019
청양군,체험관광,110721,0.8,546,0.5,2019
태안군,기타관광,1624543,11.7,110544,6.8,2019
태안군,레저스포츠,1624543,11.7,94309,5.8,2019
태안군,문화관광,1624543,11.7,101354,6.2,2019
태안군,쇼핑,1624543,11.7,37957,2.3,2019
태안군,숙박,1624543,11.7,364737,22.5,2019
태안군,역사관광,1624543,11.7,18609,1.1,2019
태안군,음식,1624543,11.7,208464,12.8,2019
태안군,자연관광,1624543,11.7,668453,41.1,2019
태안군,체험관광,1624543,11.7,20116,1.2,2019
홍성군,기타관광,339423,2.5,77600,22.9,2019
홍성군,레저스포츠,339423,2.5,1765,0.5,2019
홍성군,문화관광,339423,2.5,28520,8.4,2019
홍성군,쇼핑,339423,2.5,18669,5.5,2019
홍성군,숙박,339423,2.5,15607,4.6,2019
홍성군,역사관광,339423,2.5,12301,3.6,2019
홍성군,음식,339423,2.5,107262,31.6,2019
홍성군,자연관광,339423,2.5,76992,22.7,2019
홍성군,체험관광,339423,2.5,707,0.2,2019
계룡시,기타관광,137883,0.9,20369,14.8,2020
계룡시,레저스포츠,137883,0.9,37123,26.9,2020
계룡시,문화관광,137883,0.9,4544,3.3,2020
계룡시,쇼핑,137883,0.9,10740,7.8,2020
계룡시,숙박,137883,0.9,9160,6.6,2020
계룡시,역사관광,137883,0.9,2071,1.5,2020
계룡시,음식,137883,0.9,50366,36.5,2020
계룡시,자연관광,137883,0.9,3469,2.5,2020
계룡시,체험관광,137883,0.9,41,0,2020
공주시,기타관광,1022622,6.6,120746,11.8,2020
공주시,레저스포츠,1022622,6.6,39647,3.9,2020
공주시,문화관광,1022622,6.6,68743,6.7,2020
공주시,쇼핑,1022622,6.6,25886,2.5,2020
공주시,숙박,1022622,6.6,94173,9.2,2020
공주시,역사관광,1022622,6.6,296982,29,2020
공주시,음식,1022622,6.6,348440,34.1,2020
공주시,자연관광,1022622,6.6,20836,2,2020
공주시,체험관광,1022622,6.6,7169,0.7,2020
금산군,기타관광,202184,1.3,12641,6.3,2020
금산군,레저스포츠,202184,1.3,17225,8.5,2020
금산군,문화관광,202184,1.3,8304,4.1,2020
금산군,쇼핑,202184,1.3,23064,11.4,2020
금산군,숙박,202184,1.3,23005,11.4,2020
금산군,역사관광,202184,1.3,13487,6.7,2020
금산군,음식,202184,1.3,62370,30.8,2020
금산군,자연관광,202184,1.3,10172,5,2020
금산군,체험관광,202184,1.3,31916,15.8,2020
논산시,기타관광,513348,3.3,118074,23,2020
논산시,레저스포츠,513348,3.3,42799,8.3,2020
논산시,문화관광,513348,3.3,51951,10.1,2020
논산시,쇼핑,513348,3.3,30885,6,2020
논산시,숙박,513348,3.3,33693,6.6,2020
논산시,역사관광,513348,3.3,31153,6.1,2020
논산시,음식,513348,3.3,167277,32.6,2020
논산시,자연관광,513348,3.3,32208,6.3,2020
논산시,체험관광,513348,3.3,5308,1,2020
당진시,기타관광,1310559,8.5,168814,12.9,2020
당진시,레저스포츠,1310559,8.5,65925,5,2020
당진시,문화관광,1310559,8.5,304669,23.2,2020
당진시,쇼핑,1310559,8.5,37660,2.9,2020
당진시,숙박,1310559,8.5,68181,5.2,2020
당진시,역사관광,1310559,8.5,23628,1.8,2020
당진시,음식,1310559,8.5,370845,28.3,2020
당진시,자연관광,1310559,8.5,269815,20.6,2020
당진시,체험관광,1310559,8.5,1022,0.1,2020
보령시,기타관광,1367516,8.8,108849,8,2020
보령시,레저스포츠,1367516,8.8,53721,3.9,2020
보령시,문화관광,1367516,8.8,79445,5.8,2020
보령시,쇼핑,1367516,8.8,57351,4.2,2020
보령시,숙박,1367516,8.8,233302,17.1,2020
보령시,역사관광,1367516,8.8,8102,0.6,2020
보령시,음식,1367516,8.8,239842,17.5,2020
보령시,자연관광,1367516,8.8,585957,42.8,2020
보령시,체험관광,1367516,8.8,947,0.1,2020
부여군,기타관광,539746,3.5,25065,4.6,2020
부여군,레저스포츠,539746,3.5,50814,9.4,2020
부여군,문화관광,539746,3.5,63852,11.8,2020
부여군,쇼핑,539746,3.5,100294,18.6,2020
부여군,숙박,539746,3.5,70780,13.1,2020
부여군,역사관광,539746,3.5,100743,18.7,2020
부여군,음식,539746,3.5,121203,22.5,2020
부여군,자연관광,539746,3.5,6030,1.1,2020
부여군,체험관광,539746,3.5,965,0.2,2020
서산시,기타관광,1075662,6.9,112276,10.4,2020
서산시,레저스포츠,1075662,6.9,41956,3.9,2020
서산시,문화관광,1075662,6.9,39702,3.7,2020
서산시,쇼핑,1075662,6.9,41938,3.9,2020
서산시,숙박,1075662,6.9,81836,7.6,2020
서산시,역사관광,1075662,6.9,199712,18.6,2020
서산시,음식,1075662,6.9,297239,27.6,2020
서산시,자연관광,1075662,6.9,258659,24,2020
서산시,체험관광,1075662,6.9,2344,0.2,2020
서천군,기타관광,482156,3.1,78165,16.2,2020
서천군,레저스포츠,482156,3.1,7486,1.6,2020
서천군,문화관광,482156,3.1,47568,9.9,2020
서천군,쇼핑,482156,3.1,69585,14.4,2020
서천군,숙박,482156,3.1,47536,9.9,2020
서천군,역사관광,482156,3.1,15967,3.3,2020
서천군,음식,482156,3.1,51211,10.6,2020
서천군,자연관광,482156,3.1,163261,33.9,2020
서천군,체험관광,482156,3.1,1377,0.3,2020
아산시,기타관광,1996060,12.9,502508,25.2,2020
아산시,레저스포츠,1996060,12.9,112557,5.6,2020
아산시,문화관광,1996060,12.9,209579,10.5,2020
아산시,쇼핑,1996060,12.9,101783,5.1,2020
아산시,숙박,1996060,12.9,102083,5.1,2020
아산시,역사관광,1996060,12.9,95484,4.8,2020
아산시,음식,1996060,12.9,722652,36.2,2020
아산시,자연관광,1996060,12.9,80324,4,2020
아산시,체험관광,1996060,12.9,69090,3.5,2020
예산군,기타관광,702682,4.5,234859,33.4,2020
예산군,레저스포츠,702682,4.5,10863,1.5,2020
예산군,문화관광,702682,4.5,26385,3.8,2020
예산군,쇼핑,702682,4.5,6990,1,2020
예산군,숙박,702682,4.5,85538,12.2,2020
예산군,역사관광,702682,4.5,99200,14.1,2020
예산군,음식,702682,4.5,185400,26.4,2020
예산군,자연관광,702682,4.5,39240,5.6,2020
예산군,체험관광,702682,4.5,14207,2,2020
천안시 동남구,기타관광,1674799,10.8,227941,13.6,2020
천안시 동남구,레저스포츠,1674799,10.8,115462,6.9,2020
천안시 동남구,문화관광,1674799,10.8,214043,12.8,2020
천안시 동남구,쇼핑,1674799,10.8,182936,10.9,2020
천안시 동남구,숙박,1674799,10.8,81965,4.9,2020
천안시 동남구,역사관광,1674799,10.8,53582,3.2,2020
천안시 동남구,음식,1674799,10.8,735400,43.9,2020
천안시 동남구,자연관광,1674799,10.8,45238,2.7,2020
천안시 동남구,체험관광,1674799,10.8,18232,1.1,2020
