"No","회계연도","지역명","자치단체코드","자치단체명","행사축제명","사업내용","총비용","사업수익","순원가","개최시작일자","개최종료일자"
"1","2023","서울","1100000","서울본청","서울 뮤직페스티벌","노들섬(잔디마당, 노들스쉐어, 리이브하우스 등) 온,오프라인 병행방법으로 K-POP 공연, 서울의 라이프스타일 체험 프로그램 등 진행","1062000000","0","1062000000","20230922","20230924"
"2","2023","서울","1100000","서울본청","왕궁수문장 교대의식 재현","왕궁수문장 교대의식(궁성문 수위의식, 행렬, 교대의식, 순라의식) 재현과 관광객 대상 전통복식 체험 프로그램 등 운영","2084991620","0","2084991620","20230201","20231231"
"3","2023","서울","1100000","서울본청","남산 봉수의식 등 전통문화 재현행사","남산 봉수대 및 팔각정 앞, 보신각 일원에서 전통문화행사 재현 및 시민 체험행사 진행(1일 1회)","624900000","0","624900000","20230201","20231231"
"4","2023","서울","1100000","서울본청","제야의 종 타종행사","우리나라 대표 새해맞이 행사로 제야의 종 타종행사(공연 및 타종행사, 신년 메시지 둥) 진행","2409239000","0","2409239000","20231231","20240101"
"5","2023","서울","1100000","서울본청","문화가 흐르는 예술마당","광화문광장(세종문화회관 중앙계단 앞), 노들섬 잔디마당에서 클래식, 국악, 재즈 등 다양한 장르의 수준 높은 무료공연 진행","1500000000","0","1500000000","20230401","20231231"
"6","2023","서울","1100000","서울본청","서울정원박람회","작가·시민참여 정원 조성 및 전시, 컨퍼런스, 정원산업전, 정원문화 프로그램 등 진행","1392508960","0","1392508960","20231006","20231115"
"7","2023","서울","1100000","서울본청","서울거리공연 구석구석라이브 운영","한강 및 지천, 관광명소, 전통시장 등 서울시 내 야외거리 50개소에서 연중 61개 개별 공연프로그램 진행","1350000000","0","1350000000","20230304","20231231"
"8","2023","서울","1100000","서울본청","한강페스티벌","'일년 내내 매력있는 핫 플레이스 한강' 주제로 계절별(봄, 여름, 가을, 겨울) 다양한 축제 프로그램 운영","760000000","0","760000000","20230505","20231231"
"9","2023","서울","1100000","서울본청","정조대왕 능행차 재현 행사","1795년(을묘년) 정조대왕 능행차(구간 : 창덕궁~시흥행궁~연무대~융릉, 약 59.2km) 재현과
창덕궁 출궁의식, 미음다반, 정재공연 등 전통문화 공연, 전시 및 체험 프로그램 등 진행","628764120","0","628764120","20231007","20231008"
"10","2023","서울","1100000","서울본청","한강달빛 야시장","푸드 및 수공예품 판매, 포토존, 종합안내소 설치 및 운영 등
* 참여 상인 : 반포 85팀(푸드40, 수공예품45), 여의도 90팀(푸트40, 수공예품50)","1724702448","0","1724702448","20230507","20231022"
